緯度,経度,更新日,コンテンツ
35.09405438320762,134.0043216856931,<strong>みどりの丘保育所</strong><br>玄関<br>津山市大田831-4<br>27-0300,20200401
35.081655566298942,133.96789541479691,<strong>田邑公民館</strong><br>玄関入りすぐの事務室の前<br>津山市下田邑114-1<br>28-0902,20200401
35.235991083203537,134.11168102827432,<strong>あば温泉</strong><br>１階ロビー<br>津山市阿波1200<br>46-7111,20200401
35.053092724598976,134.00987975206988,<strong>津山市福岡体育館</strong><br>１階柔道場内<br>津山市横山1234-1<br>24-0202,20200401
35.074048645229375,134.00999041310985,<strong>中央児童館</strong><br>事務室内<br>津山市山北765<br>22-2099,20200401
35.053713172093268,134.00435755468808,<strong>南児童館</strong><br>事務室内<br>津山市横山26-2<br>24-4400,20200401
35.174803314016508,134.05563652383745,<strong>加茂児童館</strong><br>事務室内<br>津山市加茂町中原97-1<br>42-3168,20200401
35.238101684644533,134.112182487112,<strong>阿波児童館</strong><br>事務室内<br>津山市阿波1782-1<br>46-2076,20200401
35.05490566261912,134.00412394421141,<strong>交通観光案内所</strong><br>事務室内<br>津山市横山14-31<br>32-2096,20200401
35.099576732364518,134.0728292514458,<strong>津山東部小体育館</strong><br>１階ロビー<br>津山市草加部1186-1<br>29-1092,20200401
35.063805003366973,133.95362959045195,<strong>津山市西部小体育館</strong><br>１階ロビー<br>津山市院庄1242-6<br>28-0787,20200401
35.237363797915549,134.1124787827404,<strong>阿波こぶしアリーナ</strong><br>１階事務室内<br>津山市阿波1785-2<br>32-7042,20200401
35.072759872085342,134.05055030864185,<strong>津山市立つやま東幼稚園</strong><br>職員室<br>津山市高野本郷1270-1<br>20-1971,20200401
35.060598324420845,133.968243871342,<strong>津山市立津山西幼稚園</strong><br>職員室南入口付近<br>津山市二宮1982-2<br>32-8071,20200401
